content,content_lower,content_no_punctuation,content_no_emoji,content_no_stopwords,processed,predicted
TokocrypTOL mau wd aja di persulit segala pake sistem idiot trafic rules saldo ditahan seharian kalo chat CS penanganan nya lemot najis gk punya otak wd crypto di tahan seharian dah tau crypto volatilitas nya tinggi idiot idiot,tokocryptol mau wd aja di persulit segala pake sistem idiot trafic rules saldo ditahan seharian kalo chat cs penanganan nya lemot najis gk punya otak wd crypto di tahan seharian dah tau crypto volatilitas nya tinggi idiot idiot,tokocryptol mau wd aja di persulit segala pake sistem idiot trafic rules saldo ditahan seharian kalo chat cs penanganan nya lemot najis gk punya otak wd crypto di tahan seharian dah tau crypto volatilitas nya tinggi idiot idiot,tokocryptol mau wd aja di persulit segala pake sistem idiot trafic rules saldo ditahan seharian kalo chat cs penanganan nya lemot najis gk punya otak wd crypto di tahan seharian dah tau crypto volatilitas nya tinggi idiot idiot,tokocryptol wd aja persulit pake sistem idiot trafic rules saldo ditahan seharian kalo chat cs penanganan nya lemot najis gk otak wd crypto tahan seharian dah tau crypto volatilitas nya idiot idiot,tokocryptol wd aja sulit pake sistem idiot trafic rules saldo tahan hari kalo chat cs tangan nya lot najis gk otak wd crypto tahan hari dah tau crypto volatilitas nya idiot idiot,negative
"gak bisa masuk, error","gak bisa masuk, error",gak bisa masuk error,gak bisa masuk error,gak masuk error,gak masuk error,negative
"setelah muter muter coba exchange yang ada indonesia yang berbiaya murah dan support BEP 20 BNB akhirnya jatuh hati sama Tokocyrpto, sudah biaya penarikan murah jenis token juga banyak, biaya transfers atau deposit juga murah, pokoknya lengkap banget deh tokocrypto untuk yang sedang mencari seperti saya, saya sarankan gunakan tokocrypto, pasti anda nyaman seperti saya, terima kasih Tokocrypto","setelah muter muter coba exchange yang ada indonesia yang berbiaya murah dan support bep 20 bnb akhirnya jatuh hati sama tokocyrpto, sudah biaya penarikan murah jenis token juga banyak, biaya transfers atau deposit juga murah, pokoknya lengkap banget deh tokocrypto untuk yang sedang mencari seperti saya, saya sarankan gunakan tokocrypto, pasti anda nyaman seperti saya, terima kasih tokocrypto",setelah muter muter coba exchange yang ada indonesia yang berbiaya murah dan support bep 20 bnb akhirnya jatuh hati sama tokocyrpto sudah biaya penarikan murah jenis token juga banyak biaya transfers atau deposit juga murah pokoknya lengkap banget deh tokocrypto untuk yang sedang mencari seperti saya saya sarankan gunakan tokocrypto pasti anda nyaman seperti saya terima kasih tokocrypto,setelah muter muter coba exchange yang ada indonesia yang berbiaya murah dan support bep 20 bnb akhirnya jatuh hati sama tokocyrpto sudah biaya penarikan murah jenis token juga banyak biaya transfers atau deposit juga murah pokoknya lengkap banget deh tokocrypto untuk yang sedang mencari seperti saya saya sarankan gunakan tokocrypto pasti anda nyaman seperti saya terima kasih tokocrypto,muter muter coba exchange indonesia berbiaya murah support bep 20 bnb jatuh hati tokocyrpto biaya penarikan murah jenis token biaya transfers deposit murah pokoknya lengkap banget deh tokocrypto mencari sarankan tokocrypto nyaman terima kasih tokocrypto,muter muter coba exchange indonesia biaya murah support bep 20 bnb jatuh hati tokocyrpto biaya tari murah jenis token biaya transfers deposit murah pokok lengkap banget deh tokocrypto cari saran tokocrypto nyaman terima kasih tokocrypto,positive
Exchange terbaik dan no 1 di indonesia. Fitur paling lengkap dari pada exchange lokal lainnya. Tidak usah di ragukan lagi soal keamanan nya.. Salam to the moon,exchange terbaik dan no 1 di indonesia. fitur paling lengkap dari pada exchange lokal lainnya. tidak usah di ragukan lagi soal keamanan nya.. salam to the moon,exchange terbaik dan no 1 di indonesia fitur paling lengkap dari pada exchange lokal lainnya tidak usah di ragukan lagi soal keamanan nya salam to the moon,exchange terbaik dan no 1 di indonesia fitur paling lengkap dari pada exchange lokal lainnya tidak usah di ragukan lagi soal keamanan nya salam to the moon,exchange terbaik no 1 indonesia fitur lengkap exchange lokal ragukan keamanan nya salam to the moon,exchange baik no 1 indonesia fitur lengkap exchange lokal ragu aman nya salam to the moon,positive
aplikasi buruk sekali ngebaned aqun orang secara sepihak tanpa ada kejelasan sama sekali ada saldo 36 juta melayang.,aplikasi buruk sekali ngebaned aqun orang secara sepihak tanpa ada kejelasan sama sekali ada saldo 36 juta melayang.,aplikasi buruk sekali ngebaned aqun orang secara sepihak tanpa ada kejelasan sama sekali ada saldo 36 juta melayang,aplikasi buruk sekali ngebaned aqun orang secara sepihak tanpa ada kejelasan sama sekali ada saldo 36 juta melayang,aplikasi buruk ngebaned aqun orang kejelasan saldo 36 juta melayang,aplikasi buruk ngebaned aqun orang jelas saldo 36 juta layang,negative
Lama banget verifikasi mukanya,lama banget verifikasi mukanya,lama banget verifikasi mukanya,lama banget verifikasi mukanya,banget verifikasi mukanya,banget verifikasi muka,negative
"project that made a shame, the power of this exchange just coz backed by binance, nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant","project that made a shame, the power of this exchange just coz backed by binance, nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant",project that made a shame the power of this exchange just coz backed by binance nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant,project that made a shame the power of this exchange just coz backed by binance nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant,project that made a shame the power of this exchange just coz backed by binance nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant,project that made a shame the power of this exchange just coz backed by binance nothing else zipmex much better performance and have the same utility as tokocrypto and coz more transparant,positive
"Saya perhati'in dlm trading kripto marketmya lucu2. Saat turun semua turun,saat naik semua naik hampir,gua jd curiga.","saya perhati'in dlm trading kripto marketmya lucu2. saat turun semua turun,saat naik semua naik hampir,gua jd curiga.",saya perhatiin dlm trading kripto marketmya lucu2 saat turun semua turunsaat naik semua naik hampirgua jd curiga,saya perhatiin dlm trading kripto marketmya lucu2 saat turun semua turunsaat naik semua naik hampirgua jd curiga,perhatiin dlm trading kripto marketmya lucu2 turun turunsaat hampirgua jd curiga,perhatiin dlm trading kripto marketmya lucu2 turun turunsaat hampirgua jd curiga,negative
kenapa usdt saya hilang tidak bisa djual,kenapa usdt saya hilang tidak bisa djual,kenapa usdt saya hilang tidak bisa djual,kenapa usdt saya hilang tidak bisa djual,usdt hilang djual,usdt hilang djual,negative
"Mau Berapa milyar kali TokoCrypto,ulang ulang verifikasi KTPnya,kompetitor Anda aja yg pakai biometrik dan proses yg lebih ketat aja gak banyak gaya macam kalian prosesnya KYC,bukan satu aku buat aplikasi seperti anda toko Crypto,jangan jangan alat anda gak canggih dan masih alat zaman purbakala yah yg di gunakan,makanya gak support ,ku hapus aja TokoCrypto,udah mual dan eneg sama kalian,,makasih🙏","mau berapa milyar kali tokocrypto,ulang ulang verifikasi ktpnya,kompetitor anda aja yg pakai biometrik dan proses yg lebih ketat aja gak banyak gaya macam kalian prosesnya kyc,bukan satu aku buat aplikasi seperti anda toko crypto,jangan jangan alat anda gak canggih dan masih alat zaman purbakala yah yg di gunakan,makanya gak support ,ku hapus aja tokocrypto,udah mual dan eneg sama kalian,,makasih🙏",mau berapa milyar kali tokocryptoulang ulang verifikasi ktpnyakompetitor anda aja yg pakai biometrik dan proses yg lebih ketat aja gak banyak gaya macam kalian prosesnya kycbukan satu aku buat aplikasi seperti anda toko cryptojangan jangan alat anda gak canggih dan masih alat zaman purbakala yah yg di gunakanmakanya gak support ku hapus aja tokocryptoudah mual dan eneg sama kalianmakasih🙏,mau berapa milyar kali tokocryptoulang ulang verifikasi ktpnyakompetitor anda aja yg pakai biometrik dan proses yg lebih ketat aja gak banyak gaya macam kalian prosesnya kycbukan satu aku buat aplikasi seperti anda toko cryptojangan jangan alat anda gak canggih dan masih alat zaman purbakala yah yg di gunakanmakanya gak support ku hapus aja tokocryptoudah mual dan eneg sama kalianmakasih,milyar kali tokocryptoulang ulang verifikasi ktpnyakompetitor aja yg pakai biometrik proses yg ketat aja gak gaya prosesnya kycbukan aplikasi toko cryptojangan alat gak canggih alat zaman purbakala yah yg gunakanmakanya gak support ku hapus aja tokocryptoudah mual eneg kalianmakasih,milyar kali tokocryptoulang ulang verifikasi ktpnyakompetitor aja yg pakai biometrik proses yg ketat aja gak gaya proses kycbukan aplikasi toko cryptojangan alat gak canggih alat zaman purbakala yah yg gunakanmakanya gak support ku hapus aja tokocryptoudah mual eneg kalianmakasih,negative
Jangan instal apk ini soalnya kalau penarikan akan di persulit cari aplikasi lain saja giliran deposit cepet benar apk abal abal,jangan instal apk ini soalnya kalau penarikan akan di persulit cari aplikasi lain saja giliran deposit cepet benar apk abal abal,jangan instal apk ini soalnya kalau penarikan akan di persulit cari aplikasi lain saja giliran deposit cepet benar apk abal abal,jangan instal apk ini soalnya kalau penarikan akan di persulit cari aplikasi lain saja giliran deposit cepet benar apk abal abal,instal apk penarikan persulit cari aplikasi giliran deposit cepet apk abal abal,instal apk tari sulit cari aplikasi gilir deposit cepet apk abal abal,negative
Aplikasi terdeteksi virus berbaha trojan yg bisa membahayakan smartphone,aplikasi terdeteksi virus berbaha trojan yg bisa membahayakan smartphone,aplikasi terdeteksi virus berbaha trojan yg bisa membahayakan smartphone,aplikasi terdeteksi virus berbaha trojan yg bisa membahayakan smartphone,aplikasi terdeteksi virus berbaha trojan yg membahayakan smartphone,aplikasi deteksi virus berbaha trojan yg bahaya smartphone,positive
Setelah upgrade. Saya tidak bisa membula aplikasi karena masih android 5.,setelah upgrade. saya tidak bisa membula aplikasi karena masih android 5.,setelah upgrade saya tidak bisa membula aplikasi karena masih android 5,setelah upgrade saya tidak bisa membula aplikasi karena masih android 5,upgrade membula aplikasi android 5,upgrade membula aplikasi android 5,negative
Mantap akhirnya terverifikasi setelah nunggu 2 minggu lebih,mantap akhirnya terverifikasi setelah nunggu 2 minggu lebih,mantap akhirnya terverifikasi setelah nunggu 2 minggu lebih,mantap akhirnya terverifikasi setelah nunggu 2 minggu lebih,mantap terverifikasi nunggu 2 minggu,mantap verifikasi nunggu 2 minggu,negative
Aplikasi ny mudah digunakan,aplikasi ny mudah digunakan,aplikasi ny mudah digunakan,aplikasi ny mudah digunakan,aplikasi ny mudah,aplikasi ny mudah,positive
SUSAH BANGET KYCNYA PADAHAL DATA DIRI BNER SEMUA TAPI MASIH SALAH,susah banget kycnya padahal data diri bner semua tapi masih salah,susah banget kycnya padahal data diri bner semua tapi masih salah,susah banget kycnya padahal data diri bner semua tapi masih salah,susah banget kycnya data bner salah,susah banget kycnya data bner salah,negative
"Knp gw gak bisa mendaftar, pdhl email udah bener, tp kode verifikasinya gak pernah muncul di email gw, gw pkir email gw yg eror, tp knp ebanking gw emailnya sllu msuk tiap ada transaksi.. salahnya dmna lgi?","knp gw gak bisa mendaftar, pdhl email udah bener, tp kode verifikasinya gak pernah muncul di email gw, gw pkir email gw yg eror, tp knp ebanking gw emailnya sllu msuk tiap ada transaksi.. salahnya dmna lgi?",knp gw gak bisa mendaftar pdhl email udah bener tp kode verifikasinya gak pernah muncul di email gw gw pkir email gw yg eror tp knp ebanking gw emailnya sllu msuk tiap ada transaksi salahnya dmna lgi,knp gw gak bisa mendaftar pdhl email udah bener tp kode verifikasinya gak pernah muncul di email gw gw pkir email gw yg eror tp knp ebanking gw emailnya sllu msuk tiap ada transaksi salahnya dmna lgi,knp gw gak mendaftar pdhl email udah bener tp kode verifikasinya gak muncul email gw gw pkir email gw yg eror tp knp ebanking gw emailnya sllu msuk transaksi salahnya dmna lgi,knp gw gak daftar pdhl email udah bener tp kode verifikasi gak muncul email gw gw pkir email gw yg eror tp knp ebanking gw email sllu msuk transaksi salah dmna lgi,negative
"Banyak eror, mau narik dana aja gak bisa, sangat mengecewakan!","banyak eror, mau narik dana aja gak bisa, sangat mengecewakan!",banyak eror mau narik dana aja gak bisa sangat mengecewakan,banyak eror mau narik dana aja gak bisa sangat mengecewakan,eror narik dana aja gak mengecewakan,eror narik dana aja gak kecewa,negative
stop lose tidak berfungsi alhasil rugi banyak ;!!!,stop lose tidak berfungsi alhasil rugi banyak ;!!!,stop lose tidak berfungsi alhasil rugi banyak ,stop lose tidak berfungsi alhasil rugi banyak ,stop lose berfungsi alhasil rugi,stop lose fungsi alhasil rugi,negative
"Mohon info ny dong, cara mainin nya gmn ini yaa??","mohon info ny dong, cara mainin nya gmn ini yaa??",mohon info ny dong cara mainin nya gmn ini yaa,mohon info ny dong cara mainin nya gmn ini yaa,mohon info ny mainin nya gmn yaa,mohon info ny mainin nya gmn yaa,negative
"Aplikasi yang cocok banget buat pemula yang ingin inestasi dan tranding Saham diaplikasi tokocrypto ini.menu yang mudah dipahami.dan juga lengkap,transaksinya cepat.biaya fee nya rendah,dan juga banyak bonus yang dikasih oleh Tokocrypto,melalui event-eventnya yang diadakan. Makasih banyak tokocrypto sukses selalu","aplikasi yang cocok banget buat pemula yang ingin inestasi dan tranding saham diaplikasi tokocrypto ini.menu yang mudah dipahami.dan juga lengkap,transaksinya cepat.biaya fee nya rendah,dan juga banyak bonus yang dikasih oleh tokocrypto,melalui event-eventnya yang diadakan. makasih banyak tokocrypto sukses selalu",aplikasi yang cocok banget buat pemula yang ingin inestasi dan tranding saham diaplikasi tokocrypto inimenu yang mudah dipahamidan juga lengkaptransaksinya cepatbiaya fee nya rendahdan juga banyak bonus yang dikasih oleh tokocryptomelalui eventeventnya yang diadakan makasih banyak tokocrypto sukses selalu,aplikasi yang cocok banget buat pemula yang ingin inestasi dan tranding saham diaplikasi tokocrypto inimenu yang mudah dipahamidan juga lengkaptransaksinya cepatbiaya fee nya rendahdan juga banyak bonus yang dikasih oleh tokocryptomelalui eventeventnya yang diadakan makasih banyak tokocrypto sukses selalu,aplikasi cocok banget pemula inestasi tranding saham diaplikasi tokocrypto inimenu mudah dipahamidan lengkaptransaksinya cepatbiaya fee nya rendahdan bonus dikasih tokocryptomelalui eventeventnya diadakan makasih tokocrypto sukses,aplikasi cocok banget mula inestasi tranding saham aplikasi tokocrypto inimenu mudah dipahamidan lengkaptransaksinya cepatbiaya fee nya rendahdan bonus kasih tokocryptomelalui eventeventnya ada makasih tokocrypto sukses,positive
